# tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)  
    8.70000000e-01  -2.99222233e-02  6.92706850e-03  -6.32109385e-03  2.04326335e-03  -6.24418213e-03  2.01065664e-03  -1.00462283e-01  4.77536730e-02  -9.19207967e-02  4.60597354e-02  -9.28968073e-02  4.69975455e-02  -5.95002585e-03  1.69952874e-02  -3.27813386e-03  2.08595679e-02  -9.84927694e-04  2.20450197e-02  
    8.75000000e-01  -2.98056769e-02  6.90882211e-03  -6.49050858e-03  2.07662979e-03  -6.39937934e-03  2.04268493e-03  -1.00257587e-01  4.74276336e-02  -9.18139803e-02  4.56455946e-02  -9.28428594e-02  4.66067271e-02  -5.07873063e-03  1.75601918e-02  -2.42607118e-03  2.13710704e-02  -9.41166880e-05  2.26170613e-02  
    8.80000000e-01  -2.96857842e-02  6.89061955e-03  -6.65447494e-03  2.10927265e-03  -6.55051214e-03  2.07436861e-03  -1.00057757e-01  4.71054448e-02  -9.17108162e-02  4.52372862e-02  -9.27937723e-02  4.62212016e-02  -4.22902368e-03  1.81105491e-02  -1.60563270e-03  2.18731987e-02  7.63174608e-04  2.31789553e-02  
    8.85000000e-01  -2.95629675e-02  6.87281469e-03  -6.81355381e-03  2.14114983e-03  -6.69812449e-03  2.10554574e-03  -9.98495662e-02  4.67972211e-02  -9.16013840e-02  4.48426132e-02  -9.27390009e-02  4.58485241e-02  -3.42009496e-03  1.86382156e-02  -8.36735269e-04  2.23628326e-02  1.56426760e-03  2.37273985e-02  
    8.90000000e-01  -2.94375032e-02  6.85594963e-03  -6.96816138e-03  2.17250775e-03  -6.84263330e-03  2.13627279e-03  -9.96205677e-02  4.65063164e-02  -9.14674228e-02  4.44684388e-02  -9.26604245e-02  4.54956185e-02  -2.63962093e-03  1.91240844e-02  -1.05014055e-04  2.27988620e-02  2.32480286e-03  2.42218802e-02  
    8.95000000e-01  -2.93097271e-02  6.84077822e-03  -7.11915691e-03  2.20367285e-03  -6.98476655e-03  2.16673017e-03  -9.93642337e-02  4.62320506e-02  -9.13096015e-02  4.41110013e-02  -9.25582117e-02  4.51585380e-02  -1.89801365e-03  1.95708503e-02  5.88343810e-04  2.31947194e-02  3.04392057e-03  2.46757240e-02  
    9.00000000e-01  -2.91800070e-02  6.82795885e-03  -7.26736307e-03  2.23465917e-03  -7.12513082e-03  2.19682537e-03  -9.90792108e-02  4.59721645e-02  -9.11259758e-02  4.37701334e-02  -9.24300387e-02  4.48367818e-02  -1.21792143e-03  1.99913699e-02  1.21421230e-03  2.35710067e-02  3.69198184e-03  2.51094277e-02  
    9.05000000e-01  -2.90487431e-02  6.81784509e-03  -7.41272100e-03  2.26536007e-03  -7.26356781e-03  2.22646717e-03  -9.87639941e-02  4.57222824e-02  -9.09121805e-02  4.34409114e-02  -9.22711138e-02  4.45255618e-02  -6.22228820e-04  2.03892535e-02  1.74814536e-03  2.39192190e-02  4.24397900e-03  2.55146819e-02  
    9.10000000e-01  -2.89162841e-02  6.81065704e-03  -7.55437943e-03  2.29592131e-03  -7.39924523e-03  2.25589322e-03  -9.84282287e-02  4.54911183e-02  -9.06783649e-02  4.31303901e-02  -9.20917899e-02  4.42324814e-02  -6.48188585e-05  2.07494119e-02  2.24618479e-03  2.42176429e-02  4.75746566e-03  2.58689258e-02  
    9.15000000e-01  -2.87828952e-02  6.80640062e-03  -7.69180045e-03  2.32645102e-03  -7.53171419e-03  2.28518552e-03  -9.80795025e-02  4.52676264e-02  -9.04262106e-02  4.28296604e-02  -9.18938832e-02  4.39481939e-02  4.71949190e-04  2.10835252e-02  2.72022860e-03  2.44913164e-02  5.24446433e-03  2.61978333e-02  
    9.20000000e-01  -2.86487112e-02  6.80521857e-03  -7.82510469e-03  2.35683899e-03  -7.66119433e-03  2.31405419e-03  -9.77164274e-02  4.50609114e-02  -9.01581787e-02  4.25496298e-02  -9.16798724e-02  4.36833852e-02  9.96458767e-04  2.13620489e-02  3.18370606e-03  2.47208214e-02  5.71791464e-03  2.64801756e-02  
    9.25000000e-01  -2.85138680e-02  6.80745038e-03  -7.95456492e-03  2.38743573e-03  -7.78800630e-03  2.34274227e-03  -9.73380362e-02  4.48737009e-02  -8.98758106e-02  4.22979363e-02  -9.14514254e-02  4.34458284e-02  1.51963795e-03  2.15796370e-02  3.64822824e-03  2.48991712e-02  6.18952587e-03  2.67087259e-02  
